raceId,driverId,milliseconds,time,lap,year,driver
842,20,121360,2:01.360,42,2011,Sebastian Vettel
842,20,102310,1:42.310,43,2011,Sebastian Vettel
842,20,101876,1:41.876,44,2011,Sebastian Vettel
842,20,102237,1:42.237,45,2011,Sebastian Vettel
842,20,101711,1:41.711,46,2011,Sebastian Vettel
842,20,102004,1:42.004,47,2011,Sebastian Vettel
842,20,102746,1:42.746,48,2011,Sebastian Vettel
842,20,102018,1:42.018,49,2011,Sebastian Vettel
842,20,102012,1:42.012,50,2011,Sebastian Vettel
842,20,102072,1:42.072,51,2011,Sebastian Vettel
842,20,101858,1:41.858,52,2011,Sebastian Vettel
842,20,102380,1:42.380,53,2011,Sebastian Vettel
842,20,101992,1:41.992,54,2011,Sebastian Vettel
842,20,102861,1:42.861,55,2011,Sebastian Vettel
842,20,105543,1:45.543,56,2011,Sebastian Vettel
843,1,107286,1:47.286,1,2011,Lewis Hamilton
843,1,104641,1:44.641,2,2011,Lewis Hamilton
843,1,104767,1:44.767,3,2011,Lewis Hamilton
843,1,104155,1:44.155,4,2011,Lewis Hamilton
843,1,104023,1:44.023,5,2011,Lewis Hamilton
843,1,104168,1:44.168,6,2011,Lewis Hamilton
843,1,103928,1:43.928,7,2011,Lewis Hamilton
843,1,104307,1:44.307,8,2011,Lewis Hamilton
843,1,104357,1:44.357,9,2011,Lewis Hamilton
843,1,104762,1:44.762,10,2011,Lewis Hamilton
843,1,105029,1:45.029,11,2011,Lewis Hamilton
843,1,105047,1:45.047,12,2011,Lewis Hamilton
843,1,105697,1:45.697,13,2011,Lewis Hamilton
843,1,107762,1:47.762,14,2011,Lewis Hamilton
843,1,112046,1:52.046,15,2011,Lewis Hamilton
843,1,121036,2:01.036,16,2011,Lewis Hamilton
843,1,103416,1:43.416,17,2011,Lewis Hamilton
843,1,102881,1:42.881,18,2011,Lewis Hamilton
843,1,103062,1:43.062,19,2011,Lewis Hamilton
843,1,102830,1:42.830,20,2011,Lewis Hamilton
843,1,102799,1:42.799,21,2011,Lewis Hamilton
843,1,102928,1:42.928,22,2011,Lewis Hamilton
843,1,103164,1:43.164,23,2011,Lewis Hamilton
843,1,102713,1:42.713,24,2011,Lewis Hamilton
843,1,106843,1:46.843,25,2011,Lewis Hamilton
843,1,118153,1:58.153,26,2011,Lewis Hamilton
843,1,101694,1:41.694,27,2011,Lewis Hamilton
843,1,101601,1:41.601,28,2011,Lewis Hamilton
843,1,101441,1:41.441,29,2011,Lewis Hamilton
843,1,100736,1:40.736,30,2011,Lewis Hamilton
843,1,100732,1:40.732,31,2011,Lewis Hamilton
843,1,101627,1:41.627,32,2011,Lewis Hamilton
843,1,101020,1:41.020,33,2011,Lewis Hamilton
843,1,101592,1:41.592,34,2011,Lewis Hamilton
843,1,101668,1:41.668,35,2011,Lewis Hamilton
843,1,101252,1:41.252,36,2011,Lewis Hamilton
843,1,101079,1:41.079,37,2011,Lewis Hamilton
843,1,105573,1:45.573,38,2011,Lewis Hamilton
843,1,117724,1:57.724,39,2011,Lewis Hamilton
843,1,102132,1:42.132,40,2011,Lewis Hamilton
843,1,101488,1:41.488,41,2011,Lewis Hamilton
843,1,102030,1:42.030,42,2011,Lewis Hamilton
843,1,101034,1:41.034,43,2011,Lewis Hamilton
843,1,101850,1:41.850,44,2011,Lewis Hamilton
843,1,100899,1:40.899,45,2011,Lewis Hamilton
843,1,100957,1:40.957,46,2011,Lewis Hamilton
843,1,100923,1:40.923,47,2011,Lewis Hamilton
843,1,100415,1:40.415,48,2011,Lewis Hamilton
843,1,100939,1:40.939,49,2011,Lewis Hamilton
843,1,102050,1:42.050,50,2011,Lewis Hamilton
843,1,102867,1:42.867,51,2011,Lewis Hamilton
843,1,102289,1:42.289,52,2011,Lewis Hamilton
843,1,101427,1:41.427,53,2011,Lewis Hamilton
843,1,102027,1:42.027,54,2011,Lewis Hamilton
843,1,102218,1:42.218,55,2011,Lewis Hamilton
843,1,103142,1:43.142,56,2011,Lewis Hamilton
844,20,95269,1:35.269,1,2011,Sebastian Vettel
844,20,94082,1:34.082,2,2011,Sebastian Vettel
844,20,93768,1:33.768,3,2011,Sebastian Vettel
844,20,93827,1:33.827,4,2011,Sebastian Vettel
844,20,93762,1:33.762,5,2011,Sebastian Vettel
844,20,93801,1:33.801,6,2011,Sebastian Vettel
844,20,93821,1:33.821,7,2011,Sebastian Vettel
844,20,93853,1:33.853,8,2011,Sebastian Vettel
844,20,94201,1:34.201,9,2011,Sebastian Vettel
844,20,94218,1:34.218,10,2011,Sebastian Vettel
844,20,94314,1:34.314,11,2011,Sebastian Vettel
844,20,109991,1:49.991,12,2011,Sebastian Vettel
844,20,94174,1:34.174,13,2011,Sebastian Vettel
844,20,92919,1:32.919,14,2011,Sebastian Vettel
844,20,93168,1:33.168,15,2011,Sebastian Vettel
844,20,92837,1:32.837,16,2011,Sebastian Vettel
844,20,93116,1:33.116,17,2011,Sebastian Vettel
844,20,92884,1:32.884,18,2011,Sebastian Vettel
844,20,93058,1:33.058,19,2011,Sebastian Vettel
844,20,92749,1:32.749,20,2011,Sebastian Vettel
844,20,92900,1:32.900,21,2011,Sebastian Vettel
844,20,92571,1:32.571,22,2011,Sebastian Vettel
844,20,92473,1:32.473,23,2011,Sebastian Vettel
844,20,92755,1:32.755,24,2011,Sebastian Vettel
844,20,93284,1:33.284,25,2011,Sebastian Vettel
844,20,107377,1:47.377,26,2011,Sebastian Vettel
844,20,91700,1:31.700,27,2011,Sebastian Vettel
844,20,91853,1:31.853,28,2011,Sebastian Vettel
844,20,92194,1:32.194,29,2011,Sebastian Vettel
844,20,92077,1:32.077,30,2011,Sebastian Vettel
844,20,92084,1:32.084,31,2011,Sebastian Vettel
844,20,92248,1:32.248,32,2011,Sebastian Vettel
844,20,92131,1:32.131,33,2011,Sebastian Vettel
844,20,91915,1:31.915,34,2011,Sebastian Vettel
844,20,91626,1:31.626,35,2011,Sebastian Vettel
844,20,92456,1:32.456,36,2011,Sebastian Vettel
844,20,92205,1:32.205,37,2011,Sebastian Vettel
844,20,91708,1:31.708,38,2011,Sebastian Vettel
844,20,91595,1:31.595,39,2011,Sebastian Vettel
844,20,91641,1:31.641,40,2011,Sebastian Vettel
844,20,107488,1:47.488,41,2011,Sebastian Vettel
844,20,91083,1:31.083,42,2011,Sebastian Vettel
844,20,91067,1:31.067,43,2011,Sebastian Vettel
844,20,91036,1:31.036,44,2011,Sebastian Vettel
844,20,91321,1:31.321,45,2011,Sebastian Vettel
844,20,91186,1:31.186,46,2011,Sebastian Vettel
844,20,90804,1:30.804,47,2011,Sebastian Vettel
844,20,107268,1:47.268,48,2011,Sebastian Vettel
844,20,90687,1:30.687,49,2011,Sebastian Vettel
844,20,89937,1:29.937,50,2011,Sebastian Vettel
844,20,90390,1:30.390,51,2011,Sebastian Vettel
844,20,90433,1:30.433,52,2011,Sebastian Vettel
844,20,90586,1:30.586,53,2011,Sebastian Vettel
844,20,90621,1:30.621,54,2011,Sebastian Vettel
844,20,90590,1:30.590,55,2011,Sebastian Vettel
844,20,91384,1:31.384,56,2011,Sebastian Vettel
844,20,91453,1:31.453,57,2011,Sebastian Vettel
844,20,91619,1:31.619,58,2011,Sebastian Vettel
845,20,95274,1:35.274,1,2011,Sebastian Vettel
845,20,90633,1:30.633,2,2011,Sebastian Vettel
845,20,90549,1:30.549,3,2011,Sebastian Vettel
845,20,90346,1:30.346,4,2011,Sebastian Vettel
845,20,90120,1:30.120,5,2011,Sebastian Vettel
845,20,90023,1:30.023,6,2011,Sebastian Vettel
845,20,90062,1:30.062,7,2011,Sebastian Vettel
845,20,90326,1:30.326,8,2011,Sebastian Vettel
